type,name,sense,x,y,source
constraint,"起飞距离 ≤ 600m (C_Lmax_TO=1.6, σ=1.0)",above,40.0,0.132,
constraint,"起飞距离 ≤ 600m (C_Lmax_TO=1.6, σ=1.0)",above,70.0,0.15,
constraint,"起飞距离 ≤ 600m (C_Lmax_TO=1.6, σ=1.0)",above,100.0,0.17,
constraint,"起飞距离 ≤ 600m (C_Lmax_TO=1.6, σ=1.0)",above,130.0,0.192,
constraint,"起飞距离 ≤ 600m (C_Lmax_TO=1.6, σ=1.0)",above,160.0,0.216,
constraint,"起飞距离 ≤ 600m (C_Lmax_TO=1.6, σ=1.0)",above,190.0,0.242,
constraint,"起飞距离 ≤ 600m (C_Lmax_TO=1.6, σ=1.0)",above,220.0,0.27,
constraint,着陆距离 ≤ 600m (C_Lmax_L=2.2),left,198.0,0.1,
constraint,着陆距离 ≤ 600m (C_Lmax_L=2.2),left,198.0,0.55,
constraint,"着陆距离 ≤ 600m (C_Lmax_L=1.8, 襟翼简化方案)",left,162.0,0.1,
constraint,"着陆距离 ≤ 600m (C_Lmax_L=1.8, 襟翼简化方案)",left,162.0,0.55,
constraint,"海平面爬升率 ≥ 3 m/s (V=35m/s, L/D=10)",above,40.0,0.178,
constraint,"海平面爬升率 ≥ 3 m/s (V=35m/s, L/D=10)",above,70.0,0.186,
constraint,"海平面爬升率 ≥ 3 m/s (V=35m/s, L/D=10)",above,100.0,0.194,
constraint,"海平面爬升率 ≥ 3 m/s (V=35m/s, L/D=10)",above,130.0,0.203,
constraint,"海平面爬升率 ≥ 3 m/s (V=35m/s, L/D=10)",above,160.0,0.213,
constraint,"海平面爬升率 ≥ 3 m/s (V=35m/s, L/D=10)",above,190.0,0.223,
constraint,"海平面爬升率 ≥ 3 m/s (V=35m/s, L/D=10)",above,220.0,0.234,
constraint,"巡航速度 ≥ 180 km/h @4000m (L/D=14, ηp=0.82)",above,40.0,0.163,
constraint,"巡航速度 ≥ 180 km/h @4000m (L/D=14, ηp=0.82)",above,70.0,0.173,
constraint,"巡航速度 ≥ 180 km/h @4000m (L/D=14, ηp=0.82)",above,100.0,0.186,
constraint,"巡航速度 ≥ 180 km/h @4000m (L/D=14, ηp=0.82)",above,130.0,0.202,
constraint,"巡航速度 ≥ 180 km/h @4000m (L/D=14, ηp=0.82)",above,160.0,0.22,
constraint,"巡航速度 ≥ 180 km/h @4000m (L/D=14, ηp=0.82)",above,190.0,0.241,
constraint,"巡航速度 ≥ 180 km/h @4000m (L/D=14, ηp=0.82)",above,220.0,0.264,
constraint,"使用升限 ≥ 5000m (RC=0.5m/s, 功率衰减0.55)",above,40.0,0.19,
constraint,"使用升限 ≥ 5000m (RC=0.5m/s, 功率衰减0.55)",above,70.0,0.2,
constraint,"使用升限 ≥ 5000m (RC=0.5m/s, 功率衰减0.55)",above,100.0,0.214,
constraint,"使用升限 ≥ 5000m (RC=0.5m/s, 功率衰减0.55)",above,130.0,0.229,
constraint,"使用升限 ≥ 5000m (RC=0.5m/s, 功率衰减0.55)",above,160.0,0.247,
constraint,"使用升限 ≥ 5000m (RC=0.5m/s, 功率衰减0.55)",above,190.0,0.267,
constraint,"使用升限 ≥ 5000m (RC=0.5m/s, 功率衰减0.55)",above,220.0,0.289,
region,可行域 V1 (C_Lmax_L=2.2),,60.0,0.27,
region,可行域 V1 (C_Lmax_L=2.2),,185.0,0.32,
region,可行域 V1 (C_Lmax_L=2.2),,185.0,0.48,
region,可行域 V1 (C_Lmax_L=2.2),,60.0,0.48,
region,可行域 V1 (C_Lmax_L=1.8),,60.0,0.27,
region,可行域 V1 (C_Lmax_L=1.8),,150.0,0.3,
region,可行域 V1 (C_Lmax_L=1.8),,150.0,0.48,
region,可行域 V1 (C_Lmax_L=1.8),,60.0,0.48,
design_point,推荐设计点 V1,,88.0,0.28,
design_point,可选设计点 (小翼面积),,110.0,0.29,
design_point,基线 V0 设计点,,88.0,0.28,
design_point,MQ-1 参考 (估),,88.0,0.22,
design_point,MQ-9 参考 (估),,160.0,0.3,
