type,name,sense,x,y,source
constraint,"起飞距离 ≤800m (ISA SL, CLmax=1.8)",above,60.0,0.16,
constraint,"起飞距离 ≤800m (ISA SL, CLmax=1.8)",above,80.0,0.19,
constraint,"起飞距离 ≤800m (ISA SL, CLmax=1.8)",above,100.0,0.22,
constraint,"起飞距离 ≤800m (ISA SL, CLmax=1.8)",above,120.0,0.26,
constraint,"起飞距离 ≤800m (ISA SL, CLmax=1.8)",above,140.0,0.3,
constraint,"起飞距离 ≤800m (ISA SL, CLmax=1.8)",above,160.0,0.34,
constraint,"起飞距离 ≤800m (ISA SL, CLmax=1.8)",above,180.0,0.39,
constraint,"起飞距离 ≤800m (ISA SL, CLmax=1.8)",above,200.0,0.44,
constraint,着陆距离 ≤700m (CLmax_L=2.2),left,155.0,0.12,
constraint,着陆距离 ≤700m (CLmax_L=2.2),left,155.0,0.55,
constraint,爬升率 ≥5 m/s @SL (L/D_cl=10),above,60.0,0.17,
constraint,爬升率 ≥5 m/s @SL (L/D_cl=10),above,80.0,0.17,
constraint,爬升率 ≥5 m/s @SL (L/D_cl=10),above,100.0,0.17,
constraint,爬升率 ≥5 m/s @SL (L/D_cl=10),above,120.0,0.18,
constraint,爬升率 ≥5 m/s @SL (L/D_cl=10),above,140.0,0.18,
constraint,爬升率 ≥5 m/s @SL (L/D_cl=10),above,160.0,0.19,
constraint,爬升率 ≥5 m/s @SL (L/D_cl=10),above,180.0,0.2,
constraint,爬升率 ≥5 m/s @SL (L/D_cl=10),above,200.0,0.21,
constraint,巡航速度 ≥250 km/h @3000m,above,60.0,0.29,
constraint,巡航速度 ≥250 km/h @3000m,above,80.0,0.22,
constraint,巡航速度 ≥250 km/h @3000m,above,100.0,0.19,
constraint,巡航速度 ≥250 km/h @3000m,above,120.0,0.16,
constraint,巡航速度 ≥250 km/h @3000m,above,140.0,0.15,
constraint,巡航速度 ≥250 km/h @3000m,above,160.0,0.13,
constraint,巡航速度 ≥250 km/h @3000m,above,180.0,0.12,
constraint,巡航速度 ≥250 km/h @3000m,above,200.0,0.11,
constraint,实用升限 ≥6000m (RC=0.5m/s),above,60.0,0.22,
constraint,实用升限 ≥6000m (RC=0.5m/s),above,80.0,0.21,
constraint,实用升限 ≥6000m (RC=0.5m/s),above,100.0,0.2,
constraint,实用升限 ≥6000m (RC=0.5m/s),above,120.0,0.2,
constraint,实用升限 ≥6000m (RC=0.5m/s),above,140.0,0.19,
constraint,实用升限 ≥6000m (RC=0.5m/s),above,160.0,0.19,
constraint,实用升限 ≥6000m (RC=0.5m/s),above,180.0,0.19,
constraint,实用升限 ≥6000m (RC=0.5m/s),above,200.0,0.2,
region,初选可行域,,70.0,0.28,
region,初选可行域,,140.0,0.31,
region,初选可行域,,140.0,0.45,
region,初选可行域,,70.0,0.45,
design_point,推荐设计点,,105.0,0.26,
