type,name,sense,x,y,source
constraint,起飞距离约束 (600m),above,50.0,0.054,
constraint,起飞距离约束 (600m),above,80.0,0.087,
constraint,起飞距离约束 (600m),above,110.0,0.12,
constraint,起飞距离约束 (600m),above,140.0,0.152,
constraint,起飞距离约束 (600m),above,170.0,0.185,
constraint,起飞距离约束 (600m),above,200.0,0.218,
constraint,起飞距离约束 (600m),above,230.0,0.25,
constraint,着陆距离约束 (500m),left,240.0,0.04,
constraint,着陆距离约束 (500m),left,240.0,0.32,
constraint,"爬升梯度约束 (5%, SL)",above,50.0,0.113,
constraint,"爬升梯度约束 (5%, SL)",above,80.0,0.111,
constraint,"爬升梯度约束 (5%, SL)",above,110.0,0.111,
constraint,"爬升梯度约束 (5%, SL)",above,140.0,0.114,
constraint,"爬升梯度约束 (5%, SL)",above,170.0,0.119,
constraint,"爬升梯度约束 (5%, SL)",above,200.0,0.125,
constraint,"爬升梯度约束 (5%, SL)",above,230.0,0.132,
constraint,"爬升梯度约束 (5%, SL)",above,250.0,0.138,
constraint,"巡航约束 (4000m, 220km/h)",above,50.0,0.092,
constraint,"巡航约束 (4000m, 220km/h)",above,80.0,0.078,
constraint,"巡航约束 (4000m, 220km/h)",above,110.0,0.074,
constraint,"巡航约束 (4000m, 220km/h)",above,140.0,0.072,
constraint,"巡航约束 (4000m, 220km/h)",above,170.0,0.074,
constraint,"巡航约束 (4000m, 220km/h)",above,200.0,0.076,
constraint,"巡航约束 (4000m, 220km/h)",above,230.0,0.08,
constraint,"巡航约束 (4000m, 220km/h)",above,250.0,0.083,
constraint,"升限约束 (6000m, 0.5m/s)",above,60.0,0.096,
constraint,"升限约束 (6000m, 0.5m/s)",above,90.0,0.093,
constraint,"升限约束 (6000m, 0.5m/s)",above,120.0,0.092,
constraint,"升限约束 (6000m, 0.5m/s)",above,150.0,0.091,
constraint,"升限约束 (6000m, 0.5m/s)",above,180.0,0.093,
constraint,"升限约束 (6000m, 0.5m/s)",above,210.0,0.095,
constraint,"升限约束 (6000m, 0.5m/s)",above,240.0,0.098,
region,可行域,,60.0,0.14,
region,可行域,,230.0,0.14,
region,可行域,,230.0,0.28,
region,可行域,,60.0,0.28,
design_point,推荐设计点 V0,,110.0,0.15,
design_point,备选方案 A (低翼载),,90.0,0.135,
design_point,备选方案 B (高翼载),,140.0,0.17,
