type,name,sense,x,y,source
constraint,"起飞距离约束 (600m跑道, CLmax_TO=1.8)",above,40.0,0.043,
constraint,"起飞距离约束 (600m跑道, CLmax_TO=1.8)",above,60.0,0.065,
constraint,"起飞距离约束 (600m跑道, CLmax_TO=1.8)",above,80.0,0.087,
constraint,"起飞距离约束 (600m跑道, CLmax_TO=1.8)",above,100.0,0.109,
constraint,"起飞距离约束 (600m跑道, CLmax_TO=1.8)",above,120.0,0.131,
constraint,"起飞距离约束 (600m跑道, CLmax_TO=1.8)",above,150.0,0.163,
constraint,"起飞距离约束 (600m跑道, CLmax_TO=1.8)",above,180.0,0.196,
constraint,"起飞距离约束 (600m跑道, CLmax_TO=1.8)",above,220.0,0.239,
constraint,"着陆距离约束 (600m跑道, CLmax_L=2.2)",left,266.0,0.1,
constraint,"着陆距离约束 (600m跑道, CLmax_L=2.2)",left,266.0,0.65,
constraint,"爬升率约束 (海平面 3m/s, V=45m/s)",above,40.0,0.194,
constraint,"爬升率约束 (海平面 3m/s, V=45m/s)",above,60.0,0.228,
constraint,"爬升率约束 (海平面 3m/s, V=45m/s)",above,80.0,0.265,
constraint,"爬升率约束 (海平面 3m/s, V=45m/s)",above,100.0,0.308,
constraint,"爬升率约束 (海平面 3m/s, V=45m/s)",above,120.0,0.357,
constraint,"爬升率约束 (海平面 3m/s, V=45m/s)",above,140.0,0.411,
constraint,"爬升率约束 (海平面 3m/s, V=45m/s)",above,160.0,0.472,
constraint,"爬升率约束 (海平面 3m/s, V=45m/s)",above,180.0,0.538,
constraint,"巡航约束 (4000m, 200km/h, V=55.6m/s)",above,40.0,0.168,
constraint,"巡航约束 (4000m, 200km/h, V=55.6m/s)",above,60.0,0.21,
constraint,"巡航约束 (4000m, 200km/h, V=55.6m/s)",above,80.0,0.255,
constraint,"巡航约束 (4000m, 200km/h, V=55.6m/s)",above,100.0,0.303,
constraint,"巡航约束 (4000m, 200km/h, V=55.6m/s)",above,120.0,0.354,
constraint,"巡航约束 (4000m, 200km/h, V=55.6m/s)",above,140.0,0.408,
constraint,"巡航约束 (4000m, 200km/h, V=55.6m/s)",above,160.0,0.466,
constraint,"巡航约束 (4000m, 200km/h, V=55.6m/s)",above,180.0,0.527,
constraint,"升限约束 (6000m, dh/dt=0.5m/s)",above,40.0,0.231,
constraint,"升限约束 (6000m, dh/dt=0.5m/s)",above,60.0,0.272,
constraint,"升限约束 (6000m, dh/dt=0.5m/s)",above,80.0,0.316,
constraint,"升限约束 (6000m, dh/dt=0.5m/s)",above,100.0,0.364,
constraint,"升限约束 (6000m, dh/dt=0.5m/s)",above,120.0,0.416,
constraint,"升限约束 (6000m, dh/dt=0.5m/s)",above,140.0,0.472,
constraint,"升限约束 (6000m, dh/dt=0.5m/s)",above,160.0,0.532,
constraint,"升限约束 (6000m, dh/dt=0.5m/s)",above,180.0,0.596,
region,初选可行域,,50.0,0.42,
region,初选可行域,,110.0,0.28,
region,初选可行域,,220.0,0.35,
region,初选可行域,,220.0,0.6,
region,初选可行域,,50.0,0.6,
design_point,推荐设计点 V0,,90.0,0.3,
